market,confidence,correct
Doppia Chance 12,70.5,1
Over 0.5 Goal,88.3,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,0
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,78.1,1
Doppia Chance 12,78.3,0
Over 0.5 Goal,95.8,1
Over 1.5 Goal,82.5,1
Over 2.5 Goal,61.2,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.3,1
Multigol Casa 1-4,82.7,1
Multigol Casa 1-5,86.6,1
Doppia Chance 12,71.3,1
Over 0.5 Goal,89.6,1
Under 3.5 Goal,100.0,0
Under 2.5 Goal,74.2,1
Under 3.5 Goal,100.0,1
1X2 Ospite,85.6,1
Doppia Chance X2,95.0,1
Doppia Chance 12,90.6,1
Over 0.5 Goal,98.6,1
Over 1.5 Goal,92.5,1
Over 2.5 Goal,78.9,1
Under 3.5 Goal,100.0,0
Multigol Ospite 1-4,79.9,0
Multigol Ospite 1-5,97.0,1
Doppia Chance 12,71.0,1
Over 0.5 Goal,88.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,85.9,1
Under 2.5 Goal,68.8,1
Under 3.5 Goal,100.0,1
1X2 Casa,62.7,0
Doppia Chance 1X,82.8,1
Doppia Chance 12,79.8,0
Over 0.5 Goal,95.9,1
Over 1.5 Goal,82.5,1
Over 2.5 Goal,61.2,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.2,0
Over 0.5 Goal,89.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,1
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance X2,71.0,0
Doppia Chance 12,74.2,1
Over 0.5 Goal,92.8,1
Over 1.5 Goal,73.9,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,86.3,1
Under 2.5 Goal,68.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.1,1
Over 0.5 Goal,85.1,1
Under 2.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,77.1,1
Doppia Chance 12,71.2,1
Over 0.5 Goal,87.7,1
Under 2.5 Goal,65.3,0
Under 3.5 Goal,100.0,0
Doppia Chance 1X,77.7,1
Doppia Chance 12,71.2,1
Over 0.5 Goal,87.4,1
Under 2.5 Goal,65.7,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.1,0
Over 0.5 Goal,90.7,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,66.9,1
Doppia Chance 12,72.1,1
Over 0.5 Goal,90.7,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.3,1
Over 0.5 Goal,90.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,81.8,1
Doppia Chance 12,70.9,1
Over 0.5 Goal,85.5,1
Under 2.5 Goal,69.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance X2,77.4,1
Doppia Chance 12,74.5,1
Over 0.5 Goal,91.8,1
Over 1.5 Goal,71.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,76.3,1
Over 0.5 Goal,95.5,1
Over 1.5 Goal,81.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.5,1
Doppia Chance 12,75.0,1
Over 0.5 Goal,92.3,1
Over 1.5 Goal,72.6,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.5,1
Multigol Casa 1-4,78.2,1
Multigol Casa 1-5,80.0,1
1X2 Casa,70.5,1
Doppia Chance 1X,87.1,1
Doppia Chance 12,83.5,1
Over 0.5 Goal,97.4,1
Over 1.5 Goal,87.9,1
Over 2.5 Goal,70.2,1
