date,home_team,away_team,actual_home_goals,actual_away_goals,actual_scoreline,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-10-03,Bournemouth,Fulham,3,1,3-1,0.8867001441260411,1,0.6397334344769712,1,0.6665665055700948,1,0.6927770755216711,1,0.6990803431583117,1,0.606377000799311,1,0.6206902556085969,1,0.6234880198153188,1
2025-10-04,Leeds,Tottenham,1,2,1-2,0.9272627416310432,1,0.7362339190803433,1,0.6535983633961955,1,0.6764724199698849,1,0.6817151537365747,1,0.712214676759235,1,0.7579352761645115,1,0.7714711861941539,1
2025-10-04,Arsenal,West Ham,2,0,2-0,0.9577335746690032,1,0.823379731285272,1,0.7347933855257623,1,0.8154858884698831,1,0.8458704381047999,1,0.6851839629757889,0,0.7174182701034669,0,0.7257734025109613,0
2025-10-04,Man United,Sunderland,2,0,2-0,0.8992459733299161,1,0.6676629110139015,1,0.6999542630838999,1,0.7385492974932903,1,0.7492506119571208,1,0.5844848072187175,0,0.5960741274035305,0,0.5981883447194912,0
2025-10-04,Chelsea,Liverpool,2,1,2-1,0.9372367823604822,1,0.763097806102549,1,0.696287791984443,1,0.7331266244498889,1,0.7431623892095344,1,0.7036617690253663,1,0.7441838804292098,1,0.7556307370779838,1
2025-10-05,Brentford,Man City,0,1,0-1,0.9495203385135688,1,0.7983313485683029,0,0.713534897422512,0,0.7601779966672638,0,0.7740962974818978,0,0.7147390041147709,1,0.7622586070498403,1,0.7765434522597692,1
2025-10-05,Wolves,Brighton,1,1,1-1,0.9465938313111172,1,0.7895796953658021,1,0.6694860065686076,1,0.6965329116010566,1,0.7031107189049481,1,0.7310727022538805,1,0.797284397788097,1,0.8201141904082948,1
2025-10-05,Aston Villa,Burnley,2,1,2-1,0.922692817446266,1,0.7242241960537705,1,0.7269101379980417,1,0.7862932535902711,1,0.8058421752432332,1,0.5876801870652356,1,0.5996312508831121,1,0.6018332887145734,1
2025-10-05,Everton,Crystal Palace,2,1,2-1,0.8926008724665916,1,0.6527422945090013,1,0.658989428731413,1,0.6831810421711775,1,0.6888358318127223,1,0.6324417132029063,1,0.6509142517379205,1,0.6548473811779992,1
2025-10-05,Newcastle,Nott'm Forest,2,0,2-0,0.9365631078564748,1,0.7610793632168993,1,0.7290900636060629,1,0.791684752148606,1,0.812754124312026,1,0.637560423145761,0,0.6569992312881464,0,0.6612107374304129,0
2025-10-18,Sunderland,Wolves,2,0,2-0,0.9403687426384932,1,0.7711760209939968,1,0.733474268000564,1,0.8273472651032707,1,0.8653163322586674,1,0.5477860049184137,0,0.5559232373636762,0,0.5572495287548023,0
2025-10-18,Nott'm Forest,Chelsea,0,3,0-3,0.9409544982705772,1,0.7734128871133407,1,0.6694860065686076,0,0.6965329116010567,0,0.7031107189049481,0,0.7252555414225427,1,0.7825415903434668,1,0.8011194560085224,1
2025-10-18,Brighton,Newcastle,2,1,2-1,0.9004730596328215,1,0.6704132194094096,1,0.7100874645334273,1,0.7543980337093524,1,0.76735621655916,1,0.5613402741488289,1,0.570616058327572,1,0.5721917048667345,1
2025-10-18,Burnley,Leeds,2,0,2-0,0.9187422160011371,1,0.7144650717421775,1,0.6705998232141527,1,0.6979751418048177,1,0.7046616878038539,1,0.6845802758368085,0,0.7165898682464366,0,0.7248654148707392,0
2025-10-18,Crystal Palace,Bournemouth,3,3,3-3,0.9085642772128264,1,0.6895344854194259,1,0.6914527638156581,1,0.7261680664508314,1,0.7354170399034918,1,0.6320921960074953,1,0.6505007850685209,1,0.6544156783421659,1
2025-10-18,Man City,Everton,2,0,2-0,0.942001015840312,1,0.776355917080243,1,0.7277795173572326,1,0.7883716817899681,1,0.8084882803816362,1,0.6651569382120287,0,0.6909758841432695,0,0.6971517760100224,0
2025-10-18,Fulham,Arsenal,0,1,0-1,0.8911552631048563,1,0.6495032018534994,0,0.6059996638867667,0,0.620260712229198,0,0.6230449076671281,0,0.6752711320124305,1,0.7040841067852445,1,0.7112527749087206,1
2025-10-19,Liverpool,Man United,1,2,1-2,0.9437882973895096,1,0.7814449555695285,1,0.7299039121155863,1,0.7938799420015241,1,0.815615629797298,1,0.6636769477927924,1,0.6890928632936373,1,0.6951384623941048,1
2025-10-19,Tottenham,Aston Villa,1,2,1-2,0.8898830024919167,1,0.6466712606623963,1,0.6816225629633381,1,0.7125637191849131,1,0.7204640277401553,1,0.5913795228065145,1,0.6037637544188421,1,0.60607217519138,1
2025-10-20,West Ham,Brentford,0,2,0-2,0.9202975936930752,1,0.7183754886422655,1,0.689457409279532,0,0.7233522480333664,0,0.7323025713006096,0,0.6688776911062074,1,0.6957474502774923,1,0.7022668215598507,1
