date,home_team,away_team,actual_scoreline,actual_home_goals,actual_away_goals,odds_1,odds_X,odds_2,1X2_H,actual_1X2_H,1X2_D,actual_1X2_D,1X2_A,actual_1X2_A,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-09-13,Juventus,Inter,4-3,4,3,2.72,3.03,2.77,0.4422742191063892,1,0.2752982955546786,0,0.2824274853389322,0,0.905461958149382,1,0.6821581276118089,1,0.693892914039799,0,0.7296546594489987,1,0.7392888736622371,1,0.6180882859302825,1,0.6341277569383902,1,0.6373839383895731,1
2025-09-14,Roma,Torino,0-1,0,1,1.51,4.08,6.65,0.5374973432010657,0,0.2805825341510065,0,0.1819201226479277,1,0.8690637791651149,1,0.6024776335452888,0,0.6975033175138676,0,0.7349093033817576,0,0.7451585435095595,0,0.4814322818464732,1,0.485644156115259,1,0.4862051777678613,1
2025-09-14,Atalanta,Lecce,4-1,4,1,1.4,4.56,7.85,0.4563996518598598,1,0.2588164232416423,0,0.2847839248984979,0,0.9266618084453307,1,0.7346507819724206,1,0.7140240672766714,0,0.7610190299779587,1,0.7750841001482017,1,0.6475957540604256,1,0.669105129523576,1,0.6739306042703376,1
2025-09-14,Pisa,Udinese,0-1,0,1,2.78,3.08,2.64,0.2194441298018388,0,0.3323020648377305,0,0.4482538053604309,1,0.8134765729442197,1,0.5001172154905087,0,0.4654822965058616,0,0.4690535930316294,0,0.4695064334310967,0,0.6271900414715633,1,0.6447275849705761,1,0.6483964390705695,1
2025-09-14,Sassuolo,Lazio,1-0,1,0,3.49,3.49,2.04,0.2664464046074724,1,0.2585173349611019,0,0.4750362604314257,0,0.9237057257415884,1,0.7269682238538971,0,0.6319062201653753,1,0.6502808847122376,1,0.654186113417264,1,0.7161006048776721,0,0.764655730352243,0,0.7793776443961327,0
2025-09-14,Milan,Bologna,1-0,1,0,1.89,3.48,4.04,0.4828358294454125,1,0.2826624501398722,0,0.2345017204147153,0,0.8851861071741755,1,0.6363614386420485,0,0.6916330131147884,1,0.7264239515480928,1,0.7357006073719491,1,0.5553739665070667,0,0.5641308835983098,0,0.565591537369129,0
2025-09-15,Verona,Cremonese,0-0,0,0,2.34,3.13,3.16,0.3683571758755897,0,0.3088927234650633,1,0.3227501006593469,0,0.8638816398583031,0,0.592267174935557,0,0.6258739000409439,0,0.6431855356193232,0,0.64679130200122,0,0.5987851986623677,0,0.612085686661384,0,0.6146234197715962,0
2025-09-15,Como,Genoa,1-1,1,1,1.64,3.68,5.5,0.4498878911545375,0,0.2880519338229448,1,0.2620601750225175,0,0.8847968182451931,1,0.6355691349163877,1,0.680241460270158,1,0.7107013412849279,1,0.7184343435775528,1,0.5780108861248527,1,0.5889007794645263,1,0.5908478923936601,1
2025-09-19,Lecce,Cagliari,1-2,1,2,2.8,2.9,2.78,0.2916095301371978,0,0.316241704672921,0,0.3921487651898811,1,0.8507067538878911,1,0.5666230341431353,1,0.5642219411876046,1,0.5737588875523787,1,0.5753932476751191,1,0.6271900414715633,1,0.644727584970576,1,0.6483964390705695,1
2025-09-20,Udinese,Milan,0-3,0,3,4.31,3.57,1.82,0.2266834745262426,0,0.2610402136209513,0,0.512276311852806,1,0.9106462892009024,1,0.6943952600210572,1,0.5825965058698053,0,0.5939772792105631,0,0.596041296263643,0,0.7158283135274199,1,0.7641723658568907,1,0.7788048382851183,1
